Seniority,Function,Subject Line,Hook 1,Z_Contact Status,Email Opened,Email Replied
Manager,Logistics,Expertise in logistics,I'd be so thrilled to have an opportunity to connect- I believe I could really learn from your expertise in logistics.,Unresponsive,8/19/2022,
Director,Supply Chain,Your expertise in supply chain planning,I'd be grateful for an opportunity to hear your perspective on a platform I've been working on. I believe I could learn from your expertise in supply chain planning.,Unresponsive,,
Vp,Supply Chain,VP of Supply Chain,I'd be grateful for an opportunity to hear your perspective on a platform I've been working on. I believe I could learn from your deep understanding of supply chain operations.,Unresponsive,,
Manager,Logistics,Congrats on your new role,Congratulations on your promotion to Senior Transportation Manager at Central Garden & Pet- very exciting news and so well-deserved because of your incredible work as Transportation Manager over the past three years.,Unresponsive,5/30/2022,
Director,Supply Chain,Down the Rabbit Hole,"Know this is a long shot, but I'm looking to connect with supply chain and logistics experts for feedback on my new platform. Came across your profile while down a rabbit hole last night and felt compelled to reach out.",Unresponsive,,
Director,Logistics,Your 43 years at Leviton,"Given your incredible experience over the past 43 years (wow!) at Leviton, I'd be thrilled to have an opportunity to pick your brain about a project of mine.",Attempting To Contact,5/26/2022,
Director,Logistics,18 Years at Leviton,"Scrolling through the Leviton team on LinkedIn, your profile really stood out because of your 18 years in Global Logistics and Trade Compliance there- incredible. I'd be so thrilled to have an opportunity to hear your industry insight.",Unresponsive,7/11/2022,
Manager,Supply Chain,Orphanage Saint Antonio,"Your career in supply chain is incredible, but what really stands out about you is your former volunteerism with the Orphanage Saint Antonio in Brazil- A year working there must have been such an incredible experience and really speaks to your character.",Unresponsive,7/12/2022,
Vp,Supply Chain,Leadership- Supply Chain,You strike me as a man that has spent significant amounts of time contemplating the concept of 'leadership' in supply chain operations - I'd value your evaluation on a potential solution I've been working on to assist the thought process.,Unresponsive,,
Vp,Logistics,Your 20 year tenure,"Going down the LinkedIn rabbit hole, your profile really stood out because of your 20 years at Lifetime Brands- incredible! I'd love to pick your brain about a project of mine.",Unresponsive,6/3/2022,
Director,Logistics,Your expertise in forecasting,Was looking through your LinkedIn and your endorsements really stood out. They speak to your leadership and expertise in forecasting and merchandising. ,Disqualified,6/10/2022,6/7/2022
Director,Supply Chain,Supply chain to talent acquisition,"Given your transition from Supply Chain to Talent Acquisition, your industry knowledge is astounding, and I'd love to connect.",Not Interested,6/16/2022,6/16/2022
Director,Supply Chain,Your team building-kudos!,"Going down the LinkedIn rabbit hole, what struck me about your profile is your ability to build high-performing, successful teams- No easy task in the Global Supply Chain field- kudos to you!",Unresponsive,,
Director,Supply Chain,Global Supply Chain,"Like you, I intend to be a leader in the ever-changing world of global supply chain ops, and I'd be delighted to connect. Considering your years of experience in the field, I'd value your opinion.",Unresponsive,,
Manager,Supply Chain,Meritor Supply Chain,"Just read an article,""Meritor Launches Power Control And Accessory System (pcas) For Zero Emissions Commercial Vehicles,"" and found myself wondering how the global supply chain issues have affected this launch- who better to ask than you?",Unresponsive,,
Manager,Supply Chain,Purchasing Professional,"Looking for purchasing and supply chain professionals to speak with, your expertise seems absolutely perfect. I'd be so thrilled to have an opportunity to connect with you and hear your industry insight.",Unresponsive,,
Director,Supply Chain,Your leadership in supply chain,"Like you, I intend to be a leader in the ever-changing world of global supply chain ops, and I'd be delighted to connect. Considering your years of experience in the field, I'd value your opinion.",Unresponsive,,
Director,Supply Chain,Drexel MBA,An MBA from Drexel and an incredible career in supply chain operations- I can't think of a better person to reach out to.,Unresponsive,,
Director,Supply Chain,Manufacturing Leadership Awards,"Just read an article, ""Benchmark Wins 2022 Manufacturing Leadership Awards,"" and was compelled to reach out. I'd be so grateful for an opportunity to hear your supply chain expertise.",Attempting To Contact,,
Director,Supply Chain,Expert in supply chain,"You appear to be an expert in supply chain operations, and I'm looking to connect with professionals in the field. ",Unresponsive,,
Director,Supply Chain,Your industry insight,"Given your 30 years of expertise in Supply Chain and Compliance at MasterBrand Cabinets, I'd be so grateful for an opportunity to hear your industry insight.",Unresponsive,6/24/2022,
Manager,Supply Chain,Your Endorsements,Was looking through your LinkedIn and your endorsements really stood out. They speak to your leadership and expertise in manufacturing and continuous improvement.,Not Interested,6/28/2022,6/24/2022
Director,Supply Chain,Volunteering- Advocates for Children,"Not only do you have an incredibly impressive career in logistics, but your volunteer work with Court Appointed Special Advocates for Children really stands out.",Attempting To Contact,,
Vp,Logistics,Your Ball State MBA,A Ball State MBA and an incredibly impressive career in strategic sourcing and logistics- I can't think of a better person to reach out to.,Not Interested,6/17/2022,6/17/2022
Director,Logistics,Global Transportation,You appear to have mastered the field of global transportation and I'd be pleased to connect. You strike me as an ideal professional to exchange ideas with.,Unresponsive,,
C suite,Supply Chain,Thoughts on leadership?,You strike me as a man that has spent significant amounts of time contemplating the concept of 'leadership' in supply chain operations - I'd value your evaluation on a potential solution I've been working on to assist the thought process.,Unresponsive,6/24/2022,
Manager,Supply Chain,Leadership in Supply Chain,"Like you, I intend to be a leader in the ever-changing world of global supply chain ops, and I'd be delighted to connect. Considering your years of experience in the field, I'd value your opinion.",,,
Manager,Information Technology,Learning Opportunity,I'd be grateful for an opportunity to hear your perspective on a platform I've been working on. I believe I could learn from your expertise in application management.,,,
C suite,Information Technology,Cal State MS,A Cal State MS in Electrical Engineering and an incredible career as CIO of Qorvo- I can't think of a better person to reach out to.,,,
Manager,Transportation,Leadership in supply chain,"Like you, I intend to be a leader in the ever-changing world of global supply chain ops, and I'd be delighted to connect. Considering your years of experience in the field, I'd value your opinion.",Interested,7/29/2022,6/17/2022
Director,Supply Chain,Supply Chain Expertise,"Given your incredible expertise in supply chain, I'd be so grateful to have an opportunity to connect.",Attempting To Contact,,
Vp,Supply Chain,Your leadership in manufacturing,Was looking through your LinkedIn and your endorsements really stood out. They speak to your leadership and expertise in manufacturing and supply chain management.,Unresponsive,6/9/2022,
